sample_index,timestamp_utc,elapsed_s,phase,a0_voltage_v,pressure_emulator_bar,a1_voltage_v,flow_emulator_l_min,gpio24_raw_level,estop_active,permit_requested,trip_latched,gpio23_command_high,event
114,2026-09-11T16:05:12.080731+00:00,11.400287,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
115,2026-09-11T16:05:12.181044+00:00,11.500312,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
116,2026-09-11T16:05:12.280725+00:00,11.600285,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
117,2026-09-11T16:05:12.381077+00:00,11.700329,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
118,2026-09-11T16:05:12.480734+00:00,11.800292,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
119,2026-09-11T16:05:12.581028+00:00,11.900313,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
120,2026-09-11T16:05:12.680751+00:00,12.000295,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
121,2026-09-11T16:05:12.781042+00:00,12.100311,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
122,2026-09-11T16:05:12.880821+00:00,12.200321,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
123,2026-09-11T16:05:12.981103+00:00,12.300344,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
124,2026-09-11T16:05:13.080723+00:00,12.400289,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
125,2026-09-11T16:05:13.181033+00:00,12.500311,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
126,2026-09-11T16:05:13.280722+00:00,12.600282,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
127,2026-09-11T16:05:13.381025+00:00,12.700308,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
128,2026-09-11T16:05:13.480729+00:00,12.800285,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
129,2026-09-11T16:05:13.581034+00:00,12.900308,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
130,2026-09-11T16:05:13.680729+00:00,13.000285,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
131,2026-09-11T16:05:13.781028+00:00,13.100308,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
132,2026-09-11T16:05:13.880736+00:00,13.200290,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
133,2026-09-11T16:05:13.981042+00:00,13.300317,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
134,2026-09-11T16:05:14.080721+00:00,13.400281,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
135,2026-09-11T16:05:14.181022+00:00,13.500306,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
136,2026-09-11T16:05:14.280721+00:00,13.600281,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
137,2026-09-11T16:05:14.381049+00:00,13.700319,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
138,2026-09-11T16:05:14.480723+00:00,13.800282,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
139,2026-09-11T16:05:14.581031+00:00,13.900306,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
140,2026-09-11T16:05:14.680734+00:00,14.000286,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
141,2026-09-11T16:05:14.781059+00:00,14.100328,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
142,2026-09-11T16:05:14.880717+00:00,14.200283,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
143,2026-09-11T16:05:14.981042+00:00,14.300314,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
144,2026-09-11T16:05:15.080771+00:00,14.400302,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
